universe	number	name
bsd28	16	chown
bsd28	17	break
bsd28	18	stat
bsd28	19	lseek
bsd28	20	getpid
bsd28	21	mount
bsd28	22	umount
bsd28	23	setuid
bsd28	24	getuid
bsd28	25	stime
bsd28	26	ptrace
bsd28	27	alarm
bsd28	28	fstat
bsd28	29	pause
bsd28	30	utime
bsd28	31	stty
bsd28	32	gtty
bsd28	33	access
bsd28	34	nice
bsd28	35	sleep
bsd28	36	sync
bsd28	37	kill
bsd28	38	csw
bsd28	39	setpgrp
bsd28	41	dup
bsd28	42	pipe
bsd28	43	times
bsd28	44	profil
bsd28	46	setgid
bsd28	47	getgid
bsd28	48	signal
bsd28	51	acct
bsd28	52	phys
bsd28	53	lock
bsd28	54	ioctl
bsd28	55	reboot
bsd28	56	mpx
bsd28	59	setinf
bsd28	60	umask
bsd28	61	chroot
bsd29	0	indir
bsd29	1	exit
bsd29	2	fork
bsd29	3	read
bsd29	4	write
bsd29	5	open
bsd29	6	close
bsd29	7	wait
bsd29	8	creat
bsd29	9	link
bsd29	10	unlink
bsd29	11	exec
bsd29	12	chdir
bsd29	13	time
bsd29	14	mknod
bsd29	15	chmod
bsd29	16	chown
bsd29	17	break
bsd29	18	stat
bsd29	19	lseek
bsd29	20	getpid
bsd29	21	mount
bsd29	22	umount
bsd29	23	setuid
bsd29	24	getuid
bsd29	25	stime
bsd29	26	ptrace
bsd29	27	alarm
bsd29	28	fstat
bsd29	29	pause
bsd29	30	utime
bsd29	31	stty
bsd29	32	gtty
bsd29	33	access
bsd29	34	nice
bsd29	35	sleep
bsd29	36	sync
bsd29	37	kill
bsd29	38	csw
bsd29	39	setpgrp
bsd29	41	dup
bsd29	42	pipe
bsd29	43	times
bsd29	44	profil
bsd29	45	getgrp
bsd29	46	setgid
bsd29	47	getgid
bsd29	48	signal
bsd29	49	rtp
bsd29	50	setgrp
bsd29	51	acct
bsd29	52	phys
bsd29	53	lock
bsd29	54	ioctl
bsd29	55	reboot
bsd29	56	mpx
bsd29	57	vfork
bsd29	59	setinf
bsd29	60	umask
bsd29	61	chroot
v5	0	indir
v5	1	exit
v5	2	fork
v5	3	read
v5	4	write
v5	5	open
v5	6	close
v5	7	wait
v5	8	creat
v5	9	link
v5	10	unlink
v5	11	exec
v5	12	chdir
v5	13	time
